,Unnamed: 0,index,title,description,date,url,source-url,source-name,text
10,408,9,"Ranbir Kapoor’s mother Neetu Kapoor wants Deepika Padukone as her fashion stylist, says stars today have no mystery left - The Indian Express","Ranbir Kapoor’s mother Neetu Kapoor wants Deepika Padukone as her fashion stylist, says stars today have no mystery left  The Indian Express",2024-01-11 08:59:10,https://news.google.com/rss/articles/CBMiuQFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZW50ZXJ0YWlubWVudC9ib2xseXdvb2QvcmFuYmlyLWthcG9vcnMtbW90aGVyLW5lZXR1LWthcG9vci13YW50cy1kZWVwaWthLXBhZHVrb25lLWFzLWhlci1mYXNoaW9uLXN0eWxpc3Qtc2F5cy1zdGFycy10b2RheS1oYXZlLW5vLW15c3RlcnktbGVmdC05MTA0NjQ2L9IBvgFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZW50ZXJ0YWlubWVudC9ib2xseXdvb2QvcmFuYmlyLWthcG9vcnMtbW90aGVyLW5lZXR1LWthcG9vci13YW50cy1kZWVwaWthLXBhZHVrb25lLWFzLWhlci1mYXNoaW9uLXN0eWxpc3Qtc2F5cy1zdGFycy10b2RheS1oYXZlLW5vLW15c3RlcnktbGVmdC05MTA0NjQ2L2xpdGUv?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
11,806,7,"Ananya Panday reveals Alia Bhatt, Kriti Sanon texted her after Kho Gaye Hum Kahan release, recalls how she bagged Ahana’s role: ‘I dressed up as a tomboy’ - The Indian Express","Ananya Panday reveals Alia Bhatt, Kriti Sanon texted her after Kho Gaye Hum Kahan release, recalls how she bagged Ahana’s role: ‘I dressed up as a tomboy’  The Indian Express",2024-01-11 09:33:49,https://news.google.com/rss/articles/CBMimwFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZW50ZXJ0YWlubWVudC9ib2xseXdvb2QvYW5hbnlhLXBhbmRheS1yZXZlYWxzLWFsaWEtYmhhdHQta3JpdGktc2Fub24tdGV4dGVkLWhlci1hZnRlci1raG8tZ2F5ZS1odW0ta2FoYW4tcmVsZWFzZS05MTA0OTE0L9IBoAFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZW50ZXJ0YWlubWVudC9ib2xseXdvb2QvYW5hbnlhLXBhbmRheS1yZXZlYWxzLWFsaWEtYmhhdHQta3JpdGktc2Fub24tdGV4dGVkLWhlci1hZnRlci1raG8tZ2F5ZS1odW0ta2FoYW4tcmVsZWFzZS05MTA0OTE0L2xpdGUv?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
12,88,89,UPSC Essentials | Daily subject-wise quiz | Economy (Week 40) - The Indian Express,UPSC Essentials | Daily subject-wise quiz | Economy (Week 40)  The Indian Express,2024-01-11 12:57:35,https://news.google.com/rss/articles/CBMihwFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvdXBzYy1jdXJyZW50LWFmZmFpcnMvdXBzYy1lc3NlbnRpYWxzL3Vwc2MtZXNzZW50aWFscy1kYWlseS1zdWJqZWN0LXdpc2UtcXVpei1lY29ub215LXdlZWstNDAtOTEwNTUwNC_SAYwBaHR0cHM6Ly9pbmRpYW5leHByZXNzLmNvbS9hcnRpY2xlL3Vwc2MtY3VycmVudC1hZmZhaXJzL3Vwc2MtZXNzZW50aWFscy91cHNjLWVzc2VudGlhbHMtZGFpbHktc3ViamVjdC13aXNlLXF1aXotZWNvbm9teS13ZWVrLTQwLTkxMDU1MDQvbGl0ZS8?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
13,13,14,Note on crumpled tissue paper ‘written by Suchana Seth’ could prove crucial for Goa police probe - The Indian Express,Note on crumpled tissue paper ‘written by Suchana Seth’ could prove crucial for Goa police probe  The Indian Express,2024-01-11 16:21:27,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9pbmRpYS9nb2EtbXVyZGVyLXN1Y2hhbmEtc2V0aC1iZW5nYWx1cnUtY2VvLXNvbi1raWxsZWQtY3VzdG9keS1odXNiYW5kLTkxMDU3NDIv0gF2aHR0cHM6Ly9pbmRpYW5leHByZXNzLmNvbS9hcnRpY2xlL2luZGlhL2dvYS1tdXJkZXItc3VjaGFuYS1zZXRoLWJlbmdhbHVydS1jZW8tc29uLWtpbGxlZC1jdXN0b2R5LWh1c2JhbmQtOTEwNTc0Mi9saXRlLw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
14,946,47,"Ruckus, FIR over Lord Ram posters at Dehradun store run by Muslim man - The Indian Express","Ruckus, FIR over Lord Ram posters at Dehradun store run by Muslim man  The Indian Express",2024-01-11 22:30:03,https://news.google.com/rss/articles/CBMidWh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9pbmRpYS9ydWNrdXMtZmlyLW92ZXItbG9yZC1yYW0tcG9zdGVycy1hdC1kZWhyYWR1bi1zdG9yZS1ydW4tYnktbXVzbGltLW1hbi05MTA1OTA1L9IBemh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9pbmRpYS9ydWNrdXMtZmlyLW92ZXItbG9yZC1yYW0tcG9zdGVycy1hdC1kZWhyYWR1bi1zdG9yZS1ydW4tYnktbXVzbGltLW1hbi05MTA1OTA1L2xpdGUv?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
15,14,15,"Days to go for Ayodhya Ram temple opening, PM Modi starts ‘special ritual’: ‘Lord has made me an instrument…’ - The Indian Express","Days to go for Ayodhya Ram temple opening, PM Modi starts ‘special ritual’: ‘Lord has made me an instrument…’  The Indian Express",2024-01-12 04:28:57,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9pbmRpYS9wbS1tb2RpLWF5b2RoeWEtcmFtLXRlbXBsZS1zcGVjaWFsLXJpdHVhbHMtOTEwNjIwNS_SAWBodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvaW5kaWEvcG0tbW9kaS1heW9kaHlhLXJhbS10ZW1wbGUtc3BlY2lhbC1yaXR1YWxzLTkxMDYyMDUvbGl0ZS8?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
16,948,49,Australian Open 2024: Sumit Nagal becomes first Indian in 3 years to qualify for a Grand Slam singles main draw - The Indian Express,Australian Open 2024: Sumit Nagal becomes first Indian in 3 years to qualify for a Grand Slam singles main draw  The Indian Express,2024-01-12 07:16:41,https://news.google.com/rss/articles/CBMingFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvc3BvcnRzL3Rlbm5pcy9hdXN0cmFsaWFuLW9wZW4tc3VtaXQtbmFnYWwtZGVmZWF0cy1hbGV4LW1vbGNhbi10by1xdWFsaWZ5LWZvci1tYWluLWRyYXctb2Ytc2Vhc29uLW9wZW5pbmctZ3JhbmQtc2xhbS05MTA2NDEwL9IBowFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvc3BvcnRzL3Rlbm5pcy9hdXN0cmFsaWFuLW9wZW4tc3VtaXQtbmFnYWwtZGVmZWF0cy1hbGV4LW1vbGNhbi10by1xdWFsaWZ5LWZvci1tYWluLWRyYXctb2Ytc2Vhc29uLW9wZW5pbmctZ3JhbmQtc2xhbS05MTA2NDEwL2xpdGUv?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
17,914,15,Ankita Lokhande’s mother Vandana warns her against talking about Sushant Singh Rajput on Bigg Boss 17: ‘Vicky ke gharwaale kya sochenge?’ - The Indian Express,Ankita Lokhande’s mother Vandana warns her against talking about Sushant Singh Rajput on Bigg Boss 17: ‘Vicky ke gharwaale kya sochenge?’  The Indian Express,2024-01-12 08:40:31,https://news.google.com/rss/articles/CBMiqAFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZW50ZXJ0YWlubWVudC90ZWxldmlzaW9uL2Fua2l0YS1sb2toYW5kZXMtbW90aGVyLXZhbmRhbmEtd2FybnMtaGVyLWFnYWluc3QtdGFsa2luZy1hYm91dC1zdXNoYW50LXNpbmdoLXJhanB1dC1vbi1iaWdnLWJvc3MtMTctOTEwNjUxOS_SAa0BaHR0cHM6Ly9pbmRpYW5leHByZXNzLmNvbS9hcnRpY2xlL2VudGVydGFpbm1lbnQvdGVsZXZpc2lvbi9hbmtpdGEtbG9raGFuZGVzLW1vdGhlci12YW5kYW5hLXdhcm5zLWhlci1hZ2FpbnN0LXRhbGtpbmctYWJvdXQtc3VzaGFudC1zaW5naC1yYWpwdXQtb24tYmlnZy1ib3NzLTE3LTkxMDY1MTkvbGl0ZS8?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
18,105,6,"Guntur Kaaram movie review: Mahesh Babu tries hard, but Trivikram prevents us from screaming ‘Jai Babu’ - The Indian Express","Guntur Kaaram movie review: Mahesh Babu tries hard, but Trivikram prevents us from screaming ‘Jai Babu’  The Indian Express",2024-01-12 08:54:22,https://news.google.com/rss/articles/CBMisAFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZW50ZXJ0YWlubWVudC9tb3ZpZS1yZXZpZXcvZ3VudHVyLWthYXJhbS1tb3ZpZS1yZXZpZXctcmF0aW5nLW1haGVzaC1iYWJ1LXRyaWVzLWhhcmQtYnV0LXRyaXZpa3JhbS1wcmV2ZW50cy11cy1mcm9tLXNjcmVhbWluZy1qYWktYmFidS05MTA2MjgwL9IBtQFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZW50ZXJ0YWlubWVudC9tb3ZpZS1yZXZpZXcvZ3VudHVyLWthYXJhbS1tb3ZpZS1yZXZpZXctcmF0aW5nLW1haGVzaC1iYWJ1LXRyaWVzLWhhcmQtYnV0LXRyaXZpa3JhbS1wcmV2ZW50cy11cy1mcm9tLXNjcmVhbWluZy1qYWktYmFidS05MTA2MjgwL2xpdGUv?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
19,961,62,I say this as a Bharatiya Muslim: Congress rejection of Ram Mandir invite is hypocritical - The Indian Express,I say this as a Bharatiya Muslim: Congress rejection of Ram Mandir invite is hypocritical  The Indian Express,2024-01-12 09:31:11,https://news.google.com/rss/articles/CBMifWh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9vcGluaW9uL2NvbHVtbnMvYmhhcmF0aXlhLW11c2xpbS1jb25ncmVzcy1yZWplY3Rpb24tcmFtLXRlbXBsZS1pbnZpdGUtaHlwb2NyaXRpY2FsLTkxMDY2MzMv0gGCAWh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9vcGluaW9uL2NvbHVtbnMvYmhhcmF0aXlhLW11c2xpbS1jb25ncmVzcy1yZWplY3Rpb24tcmFtLXRlbXBsZS1pbnZpdGUtaHlwb2NyaXRpY2FsLTkxMDY2MzMvbGl0ZS8?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
20,10,11,Aamir Khan on daughter Ira Khan’s wedding: ‘My emotion was like a shehnai’ - The Indian Express,Aamir Khan on daughter Ira Khan’s wedding: ‘My emotion was like a shehnai’  The Indian Express,2024-01-12 14:17:37,https://news.google.com/rss/articles/CBMiiQFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZW50ZXJ0YWlubWVudC9ib2xseXdvb2QvYWFtaXIta2hhbi1vbi1kYXVnaHRlci1pcmEta2hhbnMtd2VkZGluZy1teS1lbW90aW9uLXdhcy1saWtlLWEtc2hlaG5haS05MTA2OTM4L9IBjgFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZW50ZXJ0YWlubWVudC9ib2xseXdvb2QvYWFtaXIta2hhbi1vbi1kYXVnaHRlci1pcmEta2hhbnMtd2VkZGluZy1teS1lbW90aW9uLXdhcy1saWtlLWEtc2hlaG5haS05MTA2OTM4L2xpdGUv?oc=5&hl=en-IN&gl=IN&ceid=IN:en,https://indianexpress.com,The Indian Express,
